2025-08-19 14:16:07.7971 | DEBUG | Trd:11 | Hangfire.SqlServer.ExpirationManager | Background process 'Hangfire.SqlServer.ExpirationManager' stopped. | 
2025-08-19 14:16:07.7971 | DEBUG | Trd:10 | Hangfire.Server.ServerWatchdog | Background process 'ServerWatchdog' stopped. | 
2025-08-19 14:16:07.7971 | DEBUG | Trd:9 | Hangfire.Server.ServerHeartbeat | Background process 'ServerHeartbeat' stopped. | 
2025-08-19 14:16:07.8437 | DEBUG | Trd:33 | Hangfire.Server.DelayedJobScheduler | Background process 'DelayedJobScheduler' stopped. | 
2025-08-19 14:16:08.1802 | TRACE | Trd:13 | Hangfire.Server.Worker | Background process 'Worker #d201e314' was stopped due to a shutdown request. | 
2025-08-19 14:16:08.1802 | DEBUG | Trd:13 | Hangfire.Server.Worker | Background process 'Worker #d201e314' stopped. | 
2025-08-19 14:16:08.1802 | TRACE | Trd:17 | Hangfire.Server.Worker | Background process 'Worker #b94ca8c3' was stopped due to a shutdown request. | 
2025-08-19 14:16:08.1802 | TRACE | Trd:16 | Hangfire.Server.Worker | Background process 'Worker #73eb8708' was stopped due to a shutdown request. | 
2025-08-19 14:16:08.1802 | DEBUG | Trd:16 | Hangfire.Server.Worker | Background process 'Worker #73eb8708' stopped. | 
2025-08-19 14:16:08.1802 | TRACE | Trd:19 | Hangfire.Server.Worker | Background process 'Worker #9eeb0d9a' was stopped due to a shutdown request. | 
2025-08-19 14:16:08.1802 | TRACE | Trd:20 | Hangfire.Server.Worker | Background process 'Worker #c4394026' was stopped due to a shutdown request. | 
2025-08-19 14:16:08.1802 | TRACE | Trd:21 | Hangfire.Server.Worker | Background process 'Worker #06fde0f7' was stopped due to a shutdown request. | 
2025-08-19 14:16:08.1802 | TRACE | Trd:25 | Hangfire.Server.Worker | Background process 'Worker #8391286d' was stopped due to a shutdown request. | 
2025-08-19 14:16:08.1802 | TRACE | Trd:15 | Hangfire.Server.Worker | Background process 'Worker #ade257e0' was stopped due to a shutdown request. | 
2025-08-19 14:16:08.1802 | TRACE | Trd:18 | Hangfire.Server.Worker | Background process 'Worker #95a5d36d' was stopped due to a shutdown request. | 
2025-08-19 14:16:08.1802 | TRACE | Trd:31 | Hangfire.Server.Worker | Background process 'Worker #52f6ef01' was stopped due to a shutdown request. | 
2025-08-19 14:16:08.2080 | DEBUG | Trd:15 | Hangfire.Server.Worker | Background process 'Worker #ade257e0' stopped. | 
2025-08-19 14:16:08.2080 | DEBUG | Trd:18 | Hangfire.Server.Worker | Background process 'Worker #95a5d36d' stopped. | 
2025-08-19 14:16:08.2080 | DEBUG | Trd:25 | Hangfire.Server.Worker | Background process 'Worker #8391286d' stopped. | 
2025-08-19 14:16:08.2080 | TRACE | Trd:23 | Hangfire.Server.Worker | Background process 'Worker #f4bf50c9' was stopped due to a shutdown request. | 
2025-08-19 14:16:08.2080 | DEBUG | Trd:23 | Hangfire.Server.Worker | Background process 'Worker #f4bf50c9' stopped. | 
2025-08-19 14:16:08.2080 | DEBUG | Trd:21 | Hangfire.Server.Worker | Background process 'Worker #06fde0f7' stopped. | 
2025-08-19 14:16:08.2080 | TRACE | Trd:24 | Hangfire.Server.Worker | Background process 'Worker #53456d6b' was stopped due to a shutdown request. | 
2025-08-19 14:16:08.2194 | DEBUG | Trd:24 | Hangfire.Server.Worker | Background process 'Worker #53456d6b' stopped. | 
2025-08-19 14:16:08.2080 | DEBUG | Trd:19 | Hangfire.Server.Worker | Background process 'Worker #9eeb0d9a' stopped. | 
2025-08-19 14:16:08.2080 | DEBUG | Trd:20 | Hangfire.Server.Worker | Background process 'Worker #c4394026' stopped. | 
2025-08-19 14:16:08.2080 | TRACE | Trd:26 | Hangfire.Server.Worker | Background process 'Worker #5046cc24' was stopped due to a shutdown request. | 
2025-08-19 14:16:08.2384 | DEBUG | Trd:26 | Hangfire.Server.Worker | Background process 'Worker #5046cc24' stopped. | 
2025-08-19 14:16:08.2080 | DEBUG | Trd:31 | Hangfire.Server.Worker | Background process 'Worker #52f6ef01' stopped. | 
2025-08-19 14:16:08.1802 | DEBUG | Trd:17 | Hangfire.Server.Worker | Background process 'Worker #b94ca8c3' stopped. | 
2025-08-19 14:16:08.3087 | TRACE | Trd:14 | Hangfire.Server.Worker | Background process 'Worker #19470643' was stopped due to a shutdown request. | 
2025-08-19 14:16:08.3087 | DEBUG | Trd:14 | Hangfire.Server.Worker | Background process 'Worker #19470643' stopped. | 
2025-08-19 14:16:08.3087 | TRACE | Trd:32 | Hangfire.Server.Worker | Background process 'Worker #5bad0841' was stopped due to a shutdown request. | 
2025-08-19 14:16:08.3127 | DEBUG | Trd:32 | Hangfire.Server.Worker | Background process 'Worker #5bad0841' stopped. | 
2025-08-19 14:16:08.3087 | TRACE | Trd:22 | Hangfire.Server.Worker | Background process 'Worker #9872a620' was stopped due to a shutdown request. | 
2025-08-19 14:16:08.3127 | DEBUG | Trd:22 | Hangfire.Server.Worker | Background process 'Worker #9872a620' stopped. | 
2025-08-19 14:16:08.3087 | TRACE | Trd:27 | Hangfire.Server.Worker | Background process 'Worker #0ab36f03' was stopped due to a shutdown request. | 
2025-08-19 14:16:08.3127 | DEBUG | Trd:27 | Hangfire.Server.Worker | Background process 'Worker #0ab36f03' stopped. | 
2025-08-19 14:16:08.3504 | TRACE | Trd:30 | Hangfire.Server.Worker | Background process 'Worker #aa23224e' was stopped due to a shutdown request. | 
2025-08-19 14:16:08.3504 | DEBUG | Trd:30 | Hangfire.Server.Worker | Background process 'Worker #aa23224e' stopped. | 
2025-08-19 14:16:08.3914 | TRACE | Trd:28 | Hangfire.Server.Worker | Background process 'Worker #09406a2f' was stopped due to a shutdown request. | 
2025-08-19 14:16:08.3914 | DEBUG | Trd:28 | Hangfire.Server.Worker | Background process 'Worker #09406a2f' stopped. | 
2025-08-19 14:16:08.3914 | TRACE | Trd:29 | Hangfire.Server.Worker | Background process 'Worker #75db17ac' was stopped due to a shutdown request. | 
2025-08-19 14:16:08.3914 | DEBUG | Trd:29 | Hangfire.Server.Worker | Background process 'Worker #75db17ac' stopped. | 
2025-08-19 14:16:08.3914 | TRACE | Trd:34 | Hangfire.Server.RecurringJobScheduler | Background process 'RecurringJobScheduler' was stopped due to a shutdown request. | 
2025-08-19 14:16:08.3914 | DEBUG | Trd:34 | Hangfire.Server.RecurringJobScheduler | Background process 'RecurringJobScheduler' stopped. | 
2025-08-19 14:16:08.4396 | DEBUG | Trd:8 | Hangfire.Server.BackgroundProcessingServer | Background process 'BackgroundProcessingServer' stopped. | 
2025-08-19 14:16:08.4396 | INFO | Trd:40 | Hangfire.BackgroundJobServer | Hangfire Server stopped. | 
